"protein_name"	"gene"
"Developmentally-regulated GTP-binding protein 1"	"DRG1"
"Protein canopy homolog 2"	"CNPY2"
"GDP-fucose protein O-fucosyltransferase 2"	"POFUT2"
"Exosome complex exonuclease RRP44"	"DIS3"
"Polymerase delta-interacting protein 2"	"POLDIP2"
"Calcium-regulated heat stable protein 1"	"CARHSP1"
"WW domain-binding protein 11"	"WBP11"
"Nucleolar protein 58"	"NOP58"
"Suppressor of G2 allele of SKP1 homolog"	"SUGT1"
"U6 snRNA-associated Sm-like protein LSm2"	"LSM2"
"Splicing factor 3B subunit 6"	"SF3B6"
"Ubiquitin-fold modifier-conjugating enzyme 1"	"UFC1"
"Mitochondrial fission 1 protein"	"FIS1"
"Serine-threonine kinase receptor-associated protein"	"STRAP"
"tRNA-splicing ligase RtcB homolog"	"RTCB"
"60S ribosomal protein L36"	"RPL36"
"Chromatin target of PRMT1 protein"	"CHTOP"
"Talin-1"	"TLN1"
"Talin-2"	"TLN2"
"Sorting and assembly machinery component 50 homolog"	"SAMM50"
"Intraflagellar transport protein 25 homolog"	"HSPB11"
"Protein phosphatase methylesterase 1"	"PPME1"
"YTH domain-containing family protein 2"	"YTHDF2"
"FACT complex subunit SPT16"	"SUPT16H"
"Mitochondrial import inner membrane translocase subunit Tim13"	"TIMM13"
"Mannose-1-phosphate guanyltransferase beta"	"GMPPB"
"RNA-binding protein 8A"	"RBM8A"
"Sorting nexin-5"	"SNX5"
"Heme-binding protein 2"	"HEBP2"
"Phosphoserine aminotransferase"	"PSAT1"
"Coatomer subunit gamma-1"	"COPG1"
"Peptidyl-prolyl cis-trans isomerase FKBP7"	"FKBP7"
"Chloride intracellular channel protein 4"	"CLIC4"
"Mitotic spindle assembly checkpoint protein MAD1"	"MAD1L1"
"Cytoplasmic dynein 1 light intermediate chain 1"	"DYNC1LI1"
"Coiled-coil-helix-coiled-coil-helix domain-containing protein 2;Putative coiled-coil-helix-coiled-coil-helix domain-containing protein CHCHD2P9, mitochondrial"	"CHCHD2"
"26S protease regulatory subunit 6A"	"PSMC3"
"Apoptotic chromatin condensation inducer in the nucleus"	"ACIN1"
"RNA-binding protein MEX3D"	"MEX3D"
